2026-03-10 19:41:53,749 | INFO | FS | Thread-1 (fs_background) | controller.py:163 | task run
2026-03-10 19:41:57,452 | INFO | FS | Thread-1 (fs_background) | controller.py:122 | task found: find_dup
2026-03-10 19:41:57,452 | INFO | FS | Thread-1 (fs_background) | controller.py:163 | task run
2026-03-10 19:42:01,726 | INFO | FS | Thread-1 (fs_background) | controller.py:122 | task found: open
2026-03-10 19:42:01,726 | INFO | FS | Thread-1 (fs_background) | controller.py:163 | task run
2026-03-10 19:42:01,729 | INFO | FS | Thread-1 (fs_background) | controller.py:122 | task found: show_list
2026-03-10 19:42:01,729 | INFO | FS | Thread-1 (fs_background) | controller.py:163 | task run
2026-03-10 19:42:01,729 | INFO | FS | Thread-1 (fs_background) | fsmanager.py:273 | loop finsh
2026-03-10 19:42:01,734 | INFO | FS | Thread-1 (fs_background) | controller.py:122 | task found: get_quick
2026-03-10 19:42:01,734 | INFO | FS | Thread-1 (fs_background) | controller.py:163 | task run
2026-03-10 19:42:01,739 | INFO | FS | Thread-1 (fs_background) | controller.py:122 | task found: path_breaker
2026-03-10 19:42:01,739 | INFO | FS | Thread-1 (fs_background) | controller.py:163 | task run
2026-03-10 19:42:01,741 | INFO | FS | Thread-1 (fs_background) | controller.py:122 | task found: get_cwd
2026-03-10 19:42:01,741 | INFO | FS | Thread-1 (fs_background) | controller.py:163 | task run
2026-03-10 19:42:03,797 | INFO | FS | Thread-1 (fs_background) | controller.py:122 | task found: go_to_id
2026-03-10 19:42:03,797 | INFO | FS | Thread-1 (fs_background) | controller.py:163 | task run
2026-03-10 19:42:03,797 | WARNING | FS | Thread-1 (fs_background) | fsmanager.py:544 | node not found:open_id
2026-03-10 19:42:03,801 | INFO | FS | Thread-1 (fs_background) | controller.py:122 | task found: show_list
2026-03-10 19:42:03,801 | INFO | FS | Thread-1 (fs_background) | controller.py:163 | task run
2026-03-10 19:42:03,801 | INFO | FS | Thread-1 (fs_background) | fsmanager.py:273 | loop finsh
2026-03-10 19:42:03,805 | INFO | FS | Thread-1 (fs_background) | controller.py:122 | task found: get_quick
2026-03-10 19:42:03,805 | INFO | FS | Thread-1 (fs_background) | controller.py:163 | task run
2026-03-10 19:42:03,808 | INFO | FS | Thread-1 (fs_background) | controller.py:122 | task found: path_breaker
2026-03-10 19:42:03,808 | INFO | FS | Thread-1 (fs_background) | controller.py:163 | task run
2026-03-10 19:42:03,811 | INFO | FS | Thread-1 (fs_background) | controller.py:122 | task found: get_cwd
2026-03-10 19:42:03,811 | INFO | FS | Thread-1 (fs_background) | controller.py:163 | task run
2026-03-10 19:42:06,868 | INFO | FS | Thread-1 (fs_background) | controller.py:122 | task found: show_list
2026-03-10 19:42:06,868 | INFO | FS | Thread-1 (fs_background) | controller.py:163 | task run
2026-03-10 19:42:06,868 | INFO | FS | Thread-1 (fs_background) | fsmanager.py:273 | loop finsh
2026-03-10 19:42:06,872 | INFO | FS | Thread-1 (fs_background) | controller.py:122 | task found: get_quick
2026-03-10 19:42:06,872 | INFO | FS | Thread-1 (fs_background) | controller.py:163 | task run
2026-03-10 19:42:06,875 | INFO | FS | Thread-1 (fs_background) | controller.py:122 | task found: path_breaker
2026-03-10 19:42:06,875 | INFO | FS | Thread-1 (fs_background) | controller.py:163 | task run
2026-03-10 19:42:06,880 | INFO | FS | Thread-1 (fs_background) | controller.py:122 | task found: get_cwd
2026-03-10 19:42:06,880 | INFO | FS | Thread-1 (fs_background) | controller.py:163 | task run
2026-03-10 19:42:07,652 | INFO | FS | Thread-1 (fs_background) | controller.py:122 | task found: show_list
2026-03-10 19:42:07,652 | INFO | FS | Thread-1 (fs_background) | controller.py:163 | task run
2026-03-10 19:42:07,653 | INFO | FS | Thread-1 (fs_background) | fsmanager.py:273 | loop finsh
2026-03-10 19:42:07,656 | INFO | FS | Thread-1 (fs_background) | controller.py:122 | task found: get_quick
2026-03-10 19:42:07,656 | INFO | FS | Thread-1 (fs_background) | controller.py:163 | task run
2026-03-10 19:42:07,659 | INFO | FS | Thread-1 (fs_background) | controller.py:122 | task found: path_breaker
2026-03-10 19:42:07,659 | INFO | FS | Thread-1 (fs_background) | controller.py:163 | task run
2026-03-10 19:42:07,663 | INFO | FS | Thread-1 (fs_background) | controller.py:122 | task found: get_cwd
2026-03-10 19:42:07,664 | INFO | FS | Thread-1 (fs_background) | controller.py:163 | task run
2026-03-10 19:42:08,053 | INFO | FS | Thread-1 (fs_background) | controller.py:122 | task found: show_list
2026-03-10 19:42:08,053 | INFO | FS | Thread-1 (fs_background) | controller.py:163 | task run
2026-03-10 19:42:08,053 | INFO | FS | Thread-1 (fs_background) | fsmanager.py:273 | loop finsh
2026-03-10 19:42:08,057 | INFO | FS | Thread-1 (fs_background) | controller.py:122 | task found: get_quick
2026-03-10 19:42:08,057 | INFO | FS | Thread-1 (fs_background) | controller.py:163 | task run
2026-03-10 19:42:08,062 | INFO | FS | Thread-1 (fs_background) | controller.py:122 | task found: path_breaker
2026-03-10 19:42:08,062 | INFO | FS | Thread-1 (fs_background) | controller.py:163 | task run
2026-03-10 19:42:08,064 | INFO | FS | Thread-1 (fs_background) | controller.py:122 | task found: get_cwd
2026-03-10 19:42:08,064 | INFO | FS | Thread-1 (fs_background) | controller.py:163 | task run
2026-03-10 19:42:08,245 | INFO | FS | Thread-1 (fs_background) | controller.py:122 | task found: show_list
2026-03-10 19:42:08,245 | INFO | FS | Thread-1 (fs_background) | controller.py:163 | task run
2026-03-10 19:42:08,245 | INFO | FS | Thread-1 (fs_background) | fsmanager.py:273 | loop finsh
2026-03-10 19:42:08,249 | INFO | FS | Thread-1 (fs_background) | controller.py:122 | task found: get_quick
2026-03-10 19:42:08,249 | INFO | FS | Thread-1 (fs_background) | controller.py:163 | task run
2026-03-10 19:42:08,252 | INFO | FS | Thread-1 (fs_background) | controller.py:122 | task found: path_breaker
2026-03-10 19:42:08,252 | INFO | FS | Thread-1 (fs_background) | controller.py:163 | task run
2026-03-10 19:42:08,257 | INFO | FS | Thread-1 (fs_background) | controller.py:122 | task found: get_cwd
2026-03-10 19:42:08,257 | INFO | FS | Thread-1 (fs_background) | controller.py:163 | task run
2026-03-10 19:42:08,429 | INFO | FS | Thread-1 (fs_background) | controller.py:122 | task found: show_list
2026-03-10 19:42:08,429 | INFO | FS | Thread-1 (fs_background) | controller.py:163 | task run
2026-03-10 19:42:08,429 | INFO | FS | Thread-1 (fs_background) | fsmanager.py:273 | loop finsh
2026-03-10 19:42:08,433 | INFO | FS | Thread-1 (fs_background) | controller.py:122 | task found: get_quick
2026-03-10 19:42:08,433 | INFO | FS | Thread-1 (fs_background) | controller.py:163 | task run
2026-03-10 19:42:08,437 | INFO | FS | Thread-1 (fs_background) | controller.py:122 | task found: path_breaker
2026-03-10 19:42:08,437 | INFO | FS | Thread-1 (fs_background) | controller.py:163 | task run
2026-03-10 19:42:08,441 | INFO | FS | Thread-1 (fs_background) | controller.py:122 | task found: get_cwd
2026-03-10 19:42:08,441 | INFO | FS | Thread-1 (fs_background) | controller.py:163 | task run
2026-03-10 19:42:08,612 | INFO | FS | Thread-1 (fs_background) | controller.py:122 | task found: show_list
